,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"Heart:Retail:5217-1","5"" Heart Chocolate Truffle Cheesecake",40.00,"603812052177",,"1 / 9 oz",,
,"Heart:Retail:5217-6","5"" Heart Chocolate Truffle Cheesecake (6/cs)",40.00,"10603812052174","4.5","6 / 9 oz",".26",
,"Heart:Retail:5221-1","5"" Heart Strawberry Cheesecake",40.00,"603812052214",,"1 / 9 oz",,
,"Heart:Retail:5221-6","5"" Heart Strawberry Cheesecake (6/cs)",40.00,"10603812052211","4.5","6 / 9 oz",".26",
,"Heart:Retail:5222-1","5"" Heart Chocolate Truffle with Raspberry Swirl Cheesecake",40.00,"603812052221",,"1 / 9 oz",,
,"Heart:Retail:5222-6","5"" Heart Chocolate Truffle with Raspberry Swirl Cheesecake (6/cs)",40.00,"10603812052228","4.5","6 / 9 oz",".26",
,"Heart:Retail:5247-1","5"" Heart Huckleberry Cheesecake",40.00,"603812052474",,"1 / 9 oz",,
,"Heart:Retail:5247-6","5"" Heart Huckleberry Cheesecake (6/cs)",40.00,"10603812052471","4.5","6 / 9 oz",".26",
,"Holiday Cookie",,1.25,,,,,
,"I0001","Misc ingredients",0.00,,,,,
,"Other",,0.00,,,,,
,"Other:4102-1","7"" Lemon Bundt Cake",5.95,"603812041027",,"1 / 24 oz",,
,"Other:4102-6","7"" Lemon Bundt Cake (6/cs)",5.95,"10603812041024",,"1 / 24 oz",,
,"Other:4103","7"" Rum Bundt Cake",5.95,"603812041034","1.6","1 / 25 oz",,
,"Other:4312","2 - 1/2 Sheetcakes, Strawberry Margarita Mousse, net wt. 12  Lbs.",36.60,,,,,
,"Other:4801","7"" Strawberry Margarita Mousse, 6/1.5 Lb.",33.00,,,,,
,"Other:9000","Custom:",0.00,,,,,
,"Returned Product",,0.00,,,,,
,"T1000","Test Muffin Raspberry",1.10,,,,,
,"Tiramisu",,0.00,,,,,
,"Tiramisu:24306-1","1/2 Sheetcake, Tiramisu (pre-cut 32 pieces)",27.50,"00603812243063","9.5","1 / 144 oz",".45",
,"Tiramisu:4005","10"" Tiramisu w/ Charlotte ring, 14 servings, unsliced",20.00,"603812040051","2.7","1 / 42 oz",".19",
,"Tiramisu:4009-1","7"" Tiramisu w/ Charlotte ring",8.00,"603812040099","1.5","1 / 23 oz",,
,"Tiramisu:4009-6","7"" Tiramisu w/ Charlotte ring (6/cs)",48.00,"10603812040096","9.7","6 / 23 oz",".75",
,"Tiramisu:4305-1","1/2 Sheetcake, Tiramisu, 2 layer",24.00,"00603812043052","6.5","1 / 95 oz",".45",
,"Tiramisu:4306-1","1/2 Sheetcake, Tiramisu, 3 layer",32.00,"00603812043069","9.5","1 / 144 oz",".45",
,"Tres Leches",,0.00,,,,,
,"Tres Leches:4307-1","Tres Leches Cake, 1/2 Sheet, unsliced",30.00,"00603812043076","6","1 / 98 oz",".75",
,"Tres Leches:4307-2","Tres Leches Cake, 1/2 Sheet, unsliced (2/cs)",48.00,"10603812043073","13.5","2 / 98 oz",".75",
,"Tres Leches:4308-1","Tres Leches Cake, Family Size (8""x8"")",33.00,"603812043083","1.1","1 / 18 oz",,
,"Tres Leches:4308-6","Tres Leches Cake, Family Size (8""x8"") (6/cs)",33.00,"10603812043080","7.75","6 / 18 oz",".75",
,"Tres Leches:4309-1","Tres Leches Cake, 1/2 Sheet, 12 piece pre-cut",35.00,"603812043090","6","1 / 98 oz",".75",
