,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube","Unique Instructions"
,"7""",,0.00,,,,,
,"7"":24oz",,0.00,,,,,
,"7"":24oz:7001-1","7"" New York ""Signature"" Cheesecake",6.00,"603812070010",,"1 / 24 oz",,
,"7"":24oz:7001-6","7"" New York ""Signature"" Cheesecake  (6/cs)",33.50,"10603812070017","10.5","6 / 24 oz",,
,"7"":24oz:7002-1","7"" Gluten Free New York Cheesecake",6.00,"603812070027",,"1 / 24 oz",,
,"7"":24oz:7002-6","7"" Gluten Free New York Cheesecake  (6/cs)",33.50,"10603812070024","10.5","6 / 24 oz",,
,"7"":24oz:7003-1","7"" White Chocolate Cheesecake",6.00,"603812070034",,"1 / 24 oz",,
,"7"":24oz:7003-6","7"" White Chocolate Cheesecake (6/cs)",36.50,"10603812070031",,"6 / 24 oz",,
,"7"":24oz:7007-1","7"" Irish Cream Cheesecake",6.00,"603812070072",,"1 / 24 oz",,
,"7"":24oz:7007-6","7"" Irish Cream Cheesecake (6/cs)",38.00,"10603812070079",,"6 / 24 oz",,
,"7"":24oz:7008-1","7"" Pumpkin Cheesecake",6.00,"603812070089",,"1 / 24 oz",,
,"7"":24oz:7008-6","7"" Pumpkin Cheesecake (6/cs)",38.00,"10603812070086",,"6 / 24 oz",,
,"7"":24oz:7009-1","7"" Very Berry Cheesecake",6.00,"603812070096",,"1 / 24 oz",,
,"7"":24oz:7009-6","7"" Very Berry Cheesecake (6/cs)",33.50,"10603812070093",,"6 / 24 oz",,
,"7"":24oz:7010-1","7"" Cajeta Cheesecake",6.00,"603812070102",,"1 / 24 oz",,
,"7"":24oz:7010-6","7"" Cajeta Cheesecake (6/cs)",33.50,"10603812070109",,"6 / 24 oz",,
,"7"":24oz:7012-1","7"" Key Lime Cheesecake",6.00,"603812070126",,"1 / 24 oz",,
,"7"":24oz:7012-6","7"" Key Lime Cheesecake (6/cs)",33.50,"10603812070123",,"6 / 24 oz",,
,"7"":24oz:7016-1","7"" Chocolate (no ganache) Cheesecake",6.00,"603812070164",,"1 / 24 oz",,
,"7"":24oz:7016-6","7"" Chocolate (no ganache) Cheesecake (6/cs)",36.50,"10603812070161",,"6 / 24 oz",,
,"7"":24oz:7017-1","7"" Chocolate Truffle Cheesecake",6.00,"603812070171",,"1 / 24 oz",,
,"7"":24oz:7017-6","7"" Chocolate Truffle Cheesecake (6/cs)",36.50,"10603812070178",,"6 / 24 oz",,
,"7"":24oz:7018-1","7"" EggNog Cheesecake",6.00,"603812070188",,"1 / 24 oz",,
,"7"":24oz:7018-6","7"" EggNog Cheesecake (6/cs)",41.00,"10603812070185",,"6 / 24 oz",,
,"7"":24oz:7021-1","7"" Strawberry Cheesecake",6.00,"603812070218",,"1 / 24 oz",,
,"7"":24oz:7021-6","7"" Strawberry Cheesecake (6/cs)",41.00,"10603812070215",,"6 / 24 oz",,
,"7"":24oz:7023-1","7"" Espresso Cheesecake",6.00,"603812070232",,"1 / 24 oz",,
,"7"":24oz:7023-6","7"" Espresso Cheesecake (6/cs)",36.50,"10603812070239","10.5","6 / 24 oz",".68",
,"7"":24oz:7025-1","7"" Cranberry Orange Walnut Cheesecake",6.00,"603812070256",,"1 / 24 oz",,
,"7"":24oz:7025-6","7"" Cranberry Orange Walnut Cheesecake (6/cs)",41.00,"10603812070253",,"6 / 24 oz",,
,"7"":24oz:7030-1","7"" ""No Sugar Added"" New York Cheesecake",6.00,"603812070300",,"1 / 24 oz",,
,"7"":24oz:7030-6","7"" ""No Sugar Added"" New York Cheesecake (6/cs)",38.00,"10603812070307",,"6 / 24 oz",,
,"7"":24oz:7033-1","7"" Coconut Cheesecake",6.00,"603812070331",,"1 / 24 oz",,
,"7"":24oz:7033-6","7"" Coconut Cheesecake (6/cs)",36.50,"10603812070338","10.5","6 / 24 oz",".68",
,"7"":24oz:7034-1","7"" Peppermint Swirl Cheesecake",6.00,"603812070348",,"1 / 24 oz",,
